wl,Throughput(ops/sec),[READ-MODIFY-WRITE]-AverageLatency(us),RunTime(ms),ram,n,t,dbs
a, 2802.3450022979227, 349.527632, 2802.3450022979227,1GB,1,3,500
c, 916.1670502352717, 1084.486341, 916.1670502352717,1GB,3,5,1000
a, 211.36286777138992, 2648.7319943193347, 211.36286777138992,1GB,6,1,800
a, 334.90739810442415, 1645.1238228811862, 334.90739810442415,1GB,3,3,800
a, 326.9149040504757, 1312.6590315451074, 326.9149040504757,1GB,6,3,1000
f, 243.00155520995335, 1935.87940517417, 243.00155520995335,1GB,6,3,800
c, 1880.0950576061125, 527.008827, 1880.0950576061125,1GB,1,4,1000
c, 873.6752898417774, 1133.844702, 873.6752898417774,1GB,3,5,500
a, 648.3050469737526, 1533.8017125, 648.3050469737526,1GB,6,3,800
a, 331.78500331785006, 1370.5706403940887, 331.78500331785006,1GB,6,2,800
f, 196.80003148800503, 2728.1535244922343, 196.80003148800503,1GB,6,5,500
a, 267.4154298703035, 1938.9175257731958, 267.4154298703035,1GB,3,4,1000
a, 440.0052800633608, 781.6707219784603, 440.0052800633608,1GB,3,2,1000
c, 1755.290555439755, 563.8459125, 1755.290555439755,1GB,1,4,800
f, 387.71712158808936, 902.2494481236203, 387.71712158808936,1GB,3,1,500
a, 248.20670654521086, 1124.568583621215, 248.20670654521086,1GB,1,1,500
f, 472.5227992250626, 368.29382169450594, 472.5227992250626,1GB,1,5,1000
a, 1505.9038962251507, 658.178689, 1505.9038962251507,1GB,1,1,1000
a, 952.5623928367309, 1039.818574, 952.5623928367309,1GB,3,1,500
f, 1766.378746930917, 560.58546125, 1766.378746930917,1GB,1,2,800
a, 505.1525560719337, 1355.5587822952134, 505.1525560719337,1GB,6,3,500
f, 426.4574182267901, 377.2953112687155, 426.4574182267901,1GB,1,1,500
f, 646.8928764803335, 1538.477768, 646.8928764803335,1GB,6,5,1000
a, 1761.03231714431, 562.280555, 1761.03231714431,1GB,1,5,800
a, 237.94793699138629, 2357.564045847577, 237.94793699138629,1GB,6,4,1000
f, 658.8966281788673, 1509.50948, 658.8966281788673,1GB,6,2,800
c, 1074.5567789085997, 923.97872, 1074.5567789085997,1GB,3,5,800
f, 953.5179089733664, 1042.414593, 953.5179089733664,1GB,3,4,1000
f, 455.6431402925229, 387.1367453018793, 455.6431402925229,1GB,1,4,500
f, 941.0949828344275, 1056.638034, 941.0949828344275,1GB,3,3,1000
f, 422.17249968337063, 759.9366838148002, 422.17249968337063,1GB,3,2,500
c, 1740.8220596971405, 568.555445, 1740.8220596971405,1GB,1,1,800
f, 655.3407403220508, 1517.83217625, 655.3407403220508,1GB,6,5,800
c, 688.3648443813596, 1442.216226, 688.3648443813596,1GB,6,4,500
a, 520.9961446285298, 379.53006456820015, 520.9961446285298,1GB,1,2,1000
c, 490.02793159210074, 2231296.0, 490.02793159210074,1GB,6,3,500
f, 1569.449719539335, 631.2415, 1569.449719539335,1GB,1,2,1000
a, 335.9876356550079, 2209.0921079326436, 335.9876356550079,1GB,6,4,500
c, 636.8169342359153, 1562.146785, 636.8169342359153,1GB,6,2,800
a, 1747.9996329200771, 566.46409125, 1747.9996329200771,1GB,1,3,800
a, 1758.7983889406757, 562.55699625, 1758.7983889406757,1GB,1,4,800
c, 954.2303416621738, 1041.1544425, 954.2303416621738,1GB,3,1,800
f, 1801.1819355861317, 550.122716, 1801.1819355861317,1GB,1,5,1000
f, 610.4232827648513, 1629.970035, 610.4232827648513,1GB,6,1,800
f, 311.36158420774046, 1280.47412755716, 311.36158420774046,1GB,6,4,800
a, 521.1590577444236, 808.1247247247247, 521.1590577444236,1GB,3,3,500
f, 449.3776120073698, 433.11403336604513, 449.3776120073698,1GB,1,4,800
f, 499.20127795527156, 380.99564787339267, 499.20127795527156,1GB,1,5,500
c, 1580.390514496132, 627.2775, 1580.390514496132,1GB,1,5,1000
f, 1790.466215021564, 552.276725, 1790.466215021564,1GB,1,1,800
c, 561.0098176718093, 2210816.0, 561.0098176718093,1GB,1,3,800
a, 657.5086667861141, 1512.02556, 657.5086667861141,1GB,6,5,800
a, 947.5709019927416, 1049.398378, 947.5709019927416,1GB,3,2,1000
a, 635.9559307978194, 1564.752383, 635.9559307978194,1GB,6,5,1000
c, 606.8007190588521, 1639.21905625, 606.8007190588521,1GB,6,3,800
a, 552.4251463926638, 369.09513492219816, 552.4251463926638,1GB,1,5,800
c, 591.3758477372777, 1680.502908, 591.3758477372777,1GB,6,3,500
c, 522.9305025362129, 2208768.0, 522.9305025362129,1GB,1,4,1000
a, 404.0567295648309, 1313.0022155085599, 404.0567295648309,1GB,6,3,800
f, 615.7423143044329, 1612.362556, 615.7423143044329,1GB,6,4,500
a, 953.4285887945922, 1042.29335625, 953.4285887945922,1GB,3,5,800
f, 1568.524112921188, 628.096382, 1568.524112921188,1GB,1,2,500
a, 850.0155977862194, 1169.636385, 850.0155977862194,1GB,3,1,1000
a, 437.4261843313941, 965.3584867489379, 437.4261843313941,1GB,3,2,500
a, 859.6382642184169, 1152.78775, 859.6382642184169,1GB,3,2,500
a, 964.8300162477375, 1027.444334, 964.8300162477375,1GB,3,5,500
f, 208.79878061512122, 1893.0514545814367, 208.79878061512122,1GB,6,2,1000
f, 171.3296897219319, 2556.2491419341814, 171.3296897219319,1GB,6,5,1000
a, 556.2353988207809, 377.8175889328063, 556.2353988207809,1GB,1,3,1000
c, 438.5580212262082, 2212864.0, 438.5580212262082,1GB,3,5,1000
c, 552.3336095001381, 2210816.0, 552.3336095001381,1GB,3,2,800
c, 521.1318984835061, 2210816.0, 521.1318984835061,1GB,1,2,800
c, 821.6670309390504, 1206.72871, 821.6670309390504,1GB,3,4,500
a, 228.50353037954437, 2621.3736263736264, 228.50353037954437,1GB,3,5,1000
a, 1817.7191260406441, 541.822728, 1817.7191260406441,1GB,1,1,500
