med,row/s,max,sum ms,errors,compaction,.99,.999,total ops,compression,mb,pk/s,.95,max ms,rf,stderr,time,mean,sdv ms,op/s,type,network_type,gc: #,op
38.9,3697,338.2,0,0,none,221.2,280.8,62241,none,0,3697,156.8,0,replication_1,0.03985,16.9,53.6,0,3697,,wired,0,reads_only
29.1,4022,471.3,0,0,none,230.3,322.4,79390,none,0,4022,158.7,0,replication_1,0.03678,21.1,49.9,0,4022,,wired,0,reads_only
27.6,4057,452.5,0,0,none,237.9,337.9,96469,none,0,4057,164.6,0,replication_1,0.03325,25.4,49.3,0,4057,,wired,0,reads_only
24.9,3687,478.9,0,0,none,249.6,332.9,111811,none,0,3687,181.7,0,replication_1,0.02861,29.5,54.4,0,3687,,wired,0,reads_only
33.3,4155,365.2,0,0,none,195.6,272.1,114138,none,0,4155,132.2,0,replication_1,0.17558,30.1,47.8,0,4155,,wired,0,reads_only
94.0,1802,640.2,0,0,none,293.6,378.8,7207,none,0,1802,213.1,0,replication_1,0.0,4.0,104.1,0,1802,,wired,0,writes_only
90.5,2103,425.2,0,0,none,249.8,343.9,16249,none,0,2103,189.5,0,replication_1,0.02975,8.3,96.0,0,2103,,wired,0,writes_only
64.7,2643,367.5,0,0,none,247.7,336.1,27271,none,0,2643,167.4,0,replication_1,0.0752,12.5,75.2,0,2643,,wired,0,writes_only
68.6,2570,448.5,0,0,none,243.4,324.5,38078,none,0,2570,160.7,0,replication_1,0.06458,16.7,77.9,0,2570,,wired,0,writes_only
76.4,2355,458.2,0,0,none,242.9,334.0,48176,none,0,2355,179.0,0,replication_1,0.05163,21.0,85.4,0,2355,,wired,0,writes_only
65.4,2784,329.0,0,0,none,204.3,259.5,59703,none,0,2784,144.6,0,replication_1,0.04901,25.1,71.6,0,2784,,wired,0,writes_only
66.9,2728,325.6,0,0,none,213.1,267.0,71054,none,0,2728,157.4,0,replication_1,0.04399,29.3,73.5,0,2728,,wired,0,writes_only
84.7,2197,339.2,0,0,none,228.5,266.2,72771,none,0,2197,183.9,0,replication_1,0.06087,30.0,92.8,0,2197,,wired,0,writes_only
31.6,3188,535.6,0,0,none,298.8,382.7,12749,none,0,3188,189.8,0,replication_2,0.0,4.0,59.2,0,3188,,wired,0,reads_only
32.8,3681,410.3,0,0,none,243.8,313.3,28489,none,0,3681,173.3,0,replication_2,0.03565,8.3,54.4,0,3681,,wired,0,reads_only
32.1,3651,449.3,0,0,none,get_field_names_from_keys(list_of_dictionaries=list_of_dictionaries_analogue_to_convert_csv)249.6,329.3,43799,none,0,3651,172.8,0,replication_2,0.02758,12.5,54.8,0,3651,,wired,0,reads_only
27.3,3552,507.5,0,0,none,280.2,365.7,58872,none,0,3552,186.5,0,replication_2,0.02112,16.7,56.3,0,3552,,wired,0,reads_only
40.3,3632,461.1,0,0,none,231.5,314.0,74523,none,0,3632,159.8,0,replication_2,0.01738,21.0,54.7,0,3632,,wired,0,reads_only
22.1,3168,516.9,0,0,none,304.6,414.7,87959,none,0,3168,223.2,0,replication_2,0.02084,25.3,63.1,0,3168,,wired,0,reads_only
31.3,3206,517.5,0,0,none,305.4,398.5,102008,none,0,3206,218.8,0,replication_2,0.02058,29.6,62.4,0,3206,,wired,0,reads_only
34.2,3090,490.5,0,0,none,319.3,443.3,103324,none,0,3090,235.8,0,replication_2,3.32323,30.1,70.6,0,3090,,wired,0,reads_only
111.8,1435,538.4,0,0,none,380.6,485.8,5732,none,0,1435,272.9,0,replication_2,0.0,4.0,127.3,0,1435,,wired,0,writes_only
121.8,1507,628.1,0,0,none,363.3,482.9,12352,none,0,1507,273.4,0,replication_2,0.02043,8.4,134.2,0,1507,,wired,0,writes_only
68.0,2537,365.2,0,0,none,236.2,320.1,23052,none,0,2537,172.0,0,replication_2,0.14136,12.6,78.3,0,2537,,wired,0,writes_only
67.9,2610,364.1,0,0,none,222.6,304.9,34191,none,0,2610,159.6,0,replication_2,0.12274,16.9,75.4,0,2610,,wired,0,writes_only
82.2,2266,425.7,0,0,none,238.3,307.5,43745,none,0,2266,184.5,0,replication_2,0.09806,21.1,88.4,0,2266,,wired,0,writes_only
71.2,2569,373.3,0,0,none,228.9,295.4,54197,none,0,2569,167.1,0,replication_2,0.08528,25.2,78.9,0,2569,,wired,0,writes_only
67.3,2724,437.0,0,0,none,209.2,272.4,65647,none,0,2724,152.6,0,replication_2,0.0782,29.4,72.9,0,2724,,wired,0,writes_only
95.1,2168,310.9,0,0,none,221.8,289.9,67271,none,0,2168,175.4,0,replication_2,0.08394,30.1,96.0,0,2168,,wired,0,writes_only
41.2,3288,444.1,0,0,none,237.6,333.2,13153,none,0,3288,164.4,0,replication_3,0.0,4.0,56.5,0,3288,,wired,0,reads_only
20.2,2583,627.6,0,0,none,374.6,504.9,24135,none,0,2583,269.0,0,replication_3,0.07022,8.3,77.1,0,2583,,wired,0,reads_only
25.1,2749,610.8,0,0,none,367.3,501.0,36178,none,0,2749,259.4,0,replication_3,0.04962,12.6,72.5,0,2749,,wired,0,reads_only
21.5,2982,645.4,0,0,none,335.8,429.1,49454,none,0,2982,239.6,0,replication_3,0.03852,17.1,67.5,0,2982,,wired,0,reads_only
23.9,3286,473.7,0,0,none,285.0,365.7,63706,none,0,3286,211.0,0,replication_3,0.03495,21.4,61.5,0,3286,,wired,0,reads_only
23.2,3619,478.9,0,0,none,283.6,380.1,78659,none,0,3619,189.5,0,replication_3,0.04047,25.6,55.1,0,3619,,wired,0,reads_only
26.4,3596,481.8,0,0,none,267.0,381.4,94098,none,0,3596,190.8,0,replication_3,0.03893,29.8,55.6,0,3596,,wired,0,reads_only
70.8,2773,286.3,0,0,none,252.4,279.4,94737,none,0,2773,199.9,0,replication_3,1.02389,30.1,76.0,0,2773,,wired,0,reads_only
